Financial Years	Q109	Q209	Q309	Q409	Q110	Q210	Q310	Q410	Q111	Q211	Q311	Q411	Q112	Q212	Q312	Q412	Q113	Q213	Q313	Q413	Q114	Q214	Q314	Q414	Q115	Q215	Q315	Q415	Q116	Q216	Q316	Q416	Q117	Q217	Q317	Q417	Q118	Q218	Q318	Q418	Q119	Q219	Q319	Q419	Q120	Q220	Q320	Q420	Q121	Q221	Q321	Q421	Q122	Q222	Q322	Q422	Q123	Q223	Q323	Q423	Q124	Q224	Q324	Q424	Q125	Q225	Q126	Q226
Digital Industries																																									3,859	4,056	3,888	4,284	3,762	3,684	3,670	3,881	3,765	4,031	4,176	4,542	4,347	4,565	4,930	5,676	4,795	5,203	4,976	5,661	4,562	4,505	4,893	4,576	4,052	4,284	4,526	4,626
Smart Infrastructure																																									3,323	3,507	3,587	4,181	3,529	3,517	3,372	3,905	3,477	3,562	3,770	4,207	3,809	4,009	4,369	5,165	4,585	4,908	4,924	5,528	4,827	5,149	5,416	5,976	5,286	5,744	5,534	5,928
Mobility																																									2,174	2,116	2,126	2,500	2,180	2,263	2,162	2,446	2,193	2,271	2,258	2,510	2,410	2,136	2,456	2,691	2,446	2,666	2,560	2,878	2,700	2,822	2,608	3,291	2,972	3,183	3,174	3,036
Siemens Healthineers																																									3,301	3,505	3,569	4,142	3,587	3,685	3,312	3,876	3,868	3,965	5,000	5,164	5,068	5,460	5,186	6,001	5,079	5,345	5,201	6,056	5,175	5,435	5,423	6,328	5,482	5,909	5,402	5,681
Industrial Business																																									19,385	13,184	13,169	15,107	19,586	13,149	12,516	14,109	13,304	13,829	15,203	16,423	15,634	16,171	16,941	19,532	16,905	18,122	17,661	20,124	17,265	17,911	18,340	20,171	17,793	19,120	18,635	19,271
Siemens Financial Services (SFS)																																									223	197	195	217	188	191	164	173	165	176	177	179	169	158	170	164	150	154	136	28	112	109	88	105	95	93	69	60
Reconciliation to Consolidated Financial Statements																																									-500	-448	-473	-560	-618	-479	-400	-457	-47	-63	-43	-96	-14	-67	-45	-70	-30	-47	348	465	-8	31	471	535	465	543	434	425
Siemens (continuing operations)																																									20,116	14,245	14,238	16,375	20,317	14,225	13,491	15,312	14,071	14,665	16,085	17,444	16,497	17,040	17,867	20,573	18,070	19,416	18,145	20,617	18,412	19,162	18,900	20,811	18,353	19,757	19,139	19,756
																																																																				
Digital Industries Y/Y%																																													-2.5%	-9.2%	-5.6%	-9.4%	0.1%	9.4%	13.8%	17.0%	15.5%	13.2%	18.1%	25.0%	10.3%	14.0%	0.9%	-0.3%	-4.9%	-13.4%	-1.7%	-19.2%	-11.2%	-4.9%	11.7%	8.0%
